id;nombre;fechaRegistro;estadoReg;causasExterna_id
1;ACCIDENTE DE TRANSITO;8/07/2024 4:52;A;2
2;SISMO;8/07/2024 4:52;A;6
3;MAREMOTO;8/07/2024 4:53;A;6
4;ERUPCION VOLCANICA;8/07/2024 4:53;A;6
5;DESLIZAMIENTO DE TIERRA;8/07/2024 4:53;A;6
6;INUNDACION;8/07/2024 4:53;A;6
7;AVALANCHA;8/07/2024 4:53;A;6
8;INCENDIO NATURAL;8/07/2024 4:54;A;6
9;EXPLOSION TERRORISTA;8/07/2024 4:54;A;6
10;INCENDIO TERRORISTA;8/07/2024 4:54;A;6
11;COMBATE;8/07/2024 4:54;A;6
12;ATAQUE A MUNICIPIOS;8/07/2024 4:54;A;6
13;MASACRE;8/07/2024 4:55;A;6
14;DESPLAZADOS;8/07/2024 4:55;A;6
15;MINA ANTIPERSONAL;8/07/2024 4:55;A;6
16;HURACAN;8/07/2024 4:55;A;6
17;RIÑA;8/07/2024 4:55;A;7
18;ROBO;8/07/2024 4:55;A;7
19;VIOLENCIA FAMILIAR;8/07/2024 4:56;A;7
20;AGRESION SEXUAL;8/07/2024 4:56;A;7
21;BALA PERDIDA;8/07/2024 4:56;A;7
22;CAIDA CON PRECIPITACION;8/07/2024 4:56;A;5
23;CAIDA SIN PRECIPITACION;8/07/2024 4:56;A;5
24;APLASTAMIENTO;8/07/2024 4:57;A;5
25;EXPOSICION A CORRIENTES;8/07/2024 4:57;A;5
26;AHOGAMIENTO;8/07/2024 4:57;A;5
27;EXPLOSION;8/07/2024 4:57;A;5
28;QUEMADURAS;8/07/2024 4:57;A;5
29;AGENTE QUIMICO;8/07/2024 4:58;A;5
30;AGENTE TERMICO;8/07/2024 4:58;A;5
31;AGENTE ELECTRICO;8/07/2024 4:58;A;5
